State,Year,Population
Idaho,2001,1320585
Idaho,2002,1343124
Idaho,2003,1367034
Idaho,2004,1395140
Idaho,2005,1429367
Idaho,2006,1466465
Idaho,2007,1499402
Idaho,2008,1523816
Idaho,2009,1545801
Idaho,2010,1571102
Idaho,2011,1583744
Idaho,2012,1595728
Illinois,1960,10081158
Illinois,1961,10258000
Illinois,1962,10146000
Illinois,1963,10182000
Illinois,1964,10489000
Illinois,1965,10644000
Illinois,1966,10722000
Illinois,1967,10893000
Illinois,1968,10974000
Illinois,1969,11047000
Illinois,1970,11113976
Illinois,1971,11196000
Illinois,1972,11251000
Illinois,1973,11236000
Illinois,1974,11131000
Illinois,1975,11145000
Illinois,1976,11229000
Illinois,1977,11245000
Illinois,1978,11243000
Illinois,1979,11230000
Illinois,1980,11355062
Illinois,1981,11455000
Illinois,1982,11448000
Illinois,1983,11486000
Illinois,1984,11511000
Illinois,1985,11535000
Illinois,1986,11533000
Illinois,1987,11582000
Illinois,1988,11544000
Illinois,1989,11658000
Illinois,1990,11430602
Illinois,1991,11543000
Illinois,1992,11631000
Illinois,1993,11697000
Illinois,1994,11752000
Illinois,1995,11830000
Illinois,1996,11847000
Illinois,1997,11896000
Illinois,1998,12045000
Illinois,1999,12128370
Illinois,2000,12419293
Illinois,2001,12520227
Illinois,2002,12586447
Illinois,2003,12649087
Illinois,2004,12712016
Illinois,2005,12765427
Illinois,2006,12831970
Illinois,2007,12852548
Illinois,2008,12901563
Illinois,2009,12910409
Illinois,2010,12841980
Illinois,2011,12859752
Illinois,2012,12875255
Indiana,1960,4662498
Indiana,1961,4711000
Indiana,1962,4715000
Indiana,1963,4694000
Indiana,1964,4825000
Indiana,1965,4885000
Indiana,1966,4918000
Indiana,1967,5000000
Indiana,1968,5067000
Indiana,1969,5118000
Indiana,1970,5193669
Indiana,1971,5274000
Indiana,1972,5291000
Indiana,1973,5316000
Indiana,1974,5330000
Indiana,1975,5311000
Indiana,1976,5302000
Indiana,1977,5330000
Indiana,1978,5374000
Indiana,1979,5400000
Indiana,1980,5461103
Indiana,1981,5466000
Indiana,1982,5471000
Indiana,1983,5479000
Indiana,1984,5498000
Indiana,1985,5499000
Indiana,1986,5504000
Indiana,1987,5531000
Indiana,1988,5575000
Indiana,1989,5593000
Indiana,1990,5544159
Indiana,1991,5610000
Indiana,1992,5662000
Indiana,1993,5713000
Indiana,1994,5752000
Indiana,1995,5803000
Indiana,1996,5841000
Indiana,1997,5864000
Indiana,1998,5899000
Indiana,1999,5942901
Indiana,2000,6080485
Indiana,2001,6126743
Indiana,2002,6156913
Indiana,2003,6199571
Indiana,2004,6226537
Indiana,2005,6266019
Indiana,2006,6313520
Indiana,2007,6345289
Indiana,2008,6376792
Indiana,2009,6423113
Indiana,2010,6490622
Indiana,2011,6516353
Indiana,2012,6537334
Iowa,1960,2757537
Iowa,1961,2779000
Iowa,1962,2777000
Iowa,1963,2780000
Iowa,1964,2756000
Iowa,1965,2760000
Iowa,1966,2747000
Iowa,1967,2753000
Iowa,1968,2748000
Iowa,1969,2781000
Iowa,1970,2825041
Iowa,1971,2852000
Iowa,1972,2883000
Iowa,1973,2904000
Iowa,1974,2855000
Iowa,1975,2870000
Iowa,1976,2870000
Iowa,1977,2879000
Iowa,1978,2896000
Iowa,1979,2903000
Iowa,1980,2907804
Iowa,1981,2897000
Iowa,1982,2905000
Iowa,1983,2905000
Iowa,1984,2910000
Iowa,1985,2884000
Iowa,1986,2851000
Iowa,1987,2834000
Iowa,1988,2834000
Iowa,1989,2840000
Iowa,1990,2776755
Iowa,1991,2795000
Iowa,1992,2812000
Iowa,1993,2814000
Iowa,1994,2829000
Iowa,1995,2842000
Iowa,1996,2852000
Iowa,1997,2852000
Iowa,1998,2862000
Iowa,1999,2869413
Iowa,2000,2926324
Iowa,2001,2931967
Iowa,2002,2935840
Iowa,2003,2941976
Iowa,2004,2952904
Iowa,2005,2965524
Iowa,2006,2982085
Iowa,2007,2988046
Iowa,2008,3002555
Iowa,2009,3007856
Iowa,2010,3050202
Iowa,2011,3064097
Iowa,2012,3074186
Kansas,1960,2178611
Kansas,1961,2194000
Kansas,1962,2219000
Kansas,1963,2225000
Kansas,1964,2225000
Kansas,1965,2234000
Kansas,1966,2250000
Kansas,1967,2275000
Kansas,1968,2303000
Kansas,1969,2321000
Kansas,1970,2249071
Kansas,1971,2258000
Kansas,1972,2258000
Kansas,1973,2279000
Kansas,1974,2270000
Kansas,1975,2267000
Kansas,1976,2310000
Kansas,1977,2326000
Kansas,1978,2348000
Kansas,1979,2369000
Kansas,1980,2354783
Kansas,1981,2381000
Kansas,1982,2408000
Kansas,1983,2425000
Kansas,1984,2438000
Kansas,1985,2450000
Kansas,1986,2461000
Kansas,1987,2476000
Kansas,1988,2487000
Kansas,1989,2513000
Kansas,1990,2477574
Kansas,1991,2495000
Kansas,1992,2523000
Kansas,1993,2531000
Kansas,1994,2554000
Kansas,1995,2565000
Kansas,1996,2572000
Kansas,1997,2595000
Kansas,1998,2629000
Kansas,1999,2654052
Kansas,2000,2688418
Kansas,2001,2702125
Kansas,2002,2711769
Kansas,2003,2724786
Kansas,2004,2733697
Kansas,2005,2748172
Kansas,2006,2764075
Kansas,2007,2775997
Kansas,2008,2802134
Kansas,2009,2818747
Kansas,2010,2859143
Kansas,2011,2870386
Kansas,2012,2885905
Kentucky,1960,3038156
